Serial Number,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author 7,Author 8,Author 9,Author 10,Title,Edition,Frequency,Place of Publication,Publisher,Year,Series Title,Physical Description,Notes,International Standard Book Number,International Standard Serial Number,Price,Reference Number
10214,Vocational Training Council,,,,,,,,,,2016 Manpower survey report : printing and publishing industries = 印刷及出版業2016年人力調查報告書 / Vocational Training Council.,,,Hong Kong,Vocational Training Council,2017,,"vi, 213 p. : charts ; 30 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-11872
10215,Vocational Training Council,,,,,,,,,,2016 Manpower survey report : retail trade = 零售業2016年人力調查報告書 / Vocational Training Council.,,,Hong Kong,Vocational Training Council,2017,,"ii, 169 p. : charts ; 30 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-12742
10216,Vocational Training Council,,,,,,,,,,2016 Manpower survey report : transport and logistics industry = 運輸及物流業2016年人力調查報告書 / Vocational Training Council.,,,Hong Kong,Vocational Training Council,2017,,220 p. : charts ; 30 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-10320
10217,A.Plus Group Holdings Limited,,,,,,,,,,A.Plus Group Holdings Limited first quarterly report 2017/18 = 優越集團控股有限公司2017/18第一季度報告.,,,Hong Kong,A.Plus Group Holdings Limited,2017,,"14, 14 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-10992
10218,A.Plus Group Holdings Limited,,,,,,,,,,A.Plus Group Holdings Limited interim report 2017/18 = 優越集團控股有限公司2017/18中期報告.,,,Hong Kong,A.Plus Group Holdings Limited,2017,,"28, 28 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-13474
10219,abc Multiactive Limited,,,,,,,,,,abc Multiactive Limited 2017 third quarterly report = 辰罡科技有限公司2017第三季度業績報告.,,,Hong Kong,abc Multiactive Limited,2017,,"16, 16 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-13577
10220,"Kim, Minku",,,,,,,,,,ACTIVITIES : 2007 through 2017 = 與藝同行又十年(2007-2017) / edited by Minku Kim.,,,Hong Kong,The Chinese University of Hong Kong. Department of Fine Arts,2017,,199 p. : col. ill. ; 24 cm.,Text in Chinese and English,978-962-7055-30-3 (pbk.),,$100.00,2017-11450
10221,Against Child Abuse Limited,,,,,,,,,,Against Child Abuse Limited 2016-2017 annual report = 防止虐待兒童會有限公司2016-2017年度報告.,,,Hong Kong,Against Child Abuse Limited,2017,,"160 p. : col. ill., col. charts, col. port ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-13473
10222,Agricultural Bank of China Limited,,,,,,,,,,Agricultural Bank of China Limited 2017 interim report.,,,Hong Kong,Agricultural Bank of China Limited,2017,,236 p. : charts ; 29 cm.,,,,Unpriced (pbk.),2017-11975
10223,AGTech Holdings Limited,,,,,,,,,,AGTech Holdings Limited interim report 2017 = 亞博科技控股有限公司中期業績報告2017.,,,Hong Kong,AGTech Holdings Limited,2017,,"56, 56 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-10330
10224,AGTech Holdings Limited,,,,,,,,,,AGTech Holdings Limited third quarterly report 2017 = 亞博科技控股有限公司第三季度業績報告2017.,,,Hong Kong,AGTech Holdings Limited,2017,,"40, 40 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-13494
10225,Ahsay Backup Software Development Company Limited,,,,,,,,,,Ahsay Backup Software Development Company Limited 2017 3rd quarterly report = 亞勢備份軟件開發有限公司2017第三季度報告.,,,Hong Kong,Ahsay Backup Software Development Company Limited,2017,,"20, 20 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-13574
10226,Ahsay Backup Software Development Company Limited,,,,,,,,,,Ahsay Backup Software Development Company Limited 2017 interim report = 亞勢備份軟件開發有限公司2017中期報告.,,,Hong Kong,Ahsay Backup Software Development Company Limited,2017,,"28, 28 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-10998
10227,AL Group Limited,,,,,,,,,,AL Group Limited third quarterly report 2017 = 利駿集團(香港)有限公司第三季度報告2017.,,,Hong Kong,AL Group Limited,2017,,"20, 20 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-13482
10228,"Al-Masri, Maram",,,,,,,,,,Barefoot souls = 赤足的靈魂 / Maram al-Masri.,,,Hong Kong,The Chinese University Press,2017,Ancient enmity box set collection ; 17,93 p. ; 17 cm.,"Text in Chinese, English and Arabic","978-988-237-042-5 (pbk.), 978-988-237-028-9 (set)",,$20.00; $300.00,2017-12720
10229,Alltronics Holdings Limited,,,,,,,,,,Alltronics Holdings Limited interim report 2017 = 華訊股份有限公司中期報告2017.,,,Hong Kong,Alltronics Holdings Limited,2017,,"52, 52 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-11593
10230,Altus Holdings Limited,,,,,,,,,,Altus Holdings Limited first quarterly report FY2018 = 浩德控股有限公司2018財政年度第一季度報告.,,,Hong Kong,Altus Holdings Limited,2017,,"24, 24 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-10694
10231,AMS Public Transport Holdings Limited,,,,,,,,,,"AMS Public Transport Holdings Limited (1) Proposals for re-election of directors, (2) General mandates to issue and repurchase shares, (3) Continuing connected transactions : minibus leasing agreement and (4) Notice of annual general meeting, 19 July 2017 = 進智公共交通控股有限公司 (1) 建議重選董事 (2) 發行及購回股份之一般授權 (3) 持續關連交易 : 小巴租賃協議及 (4) 股東週年大會通告, 二零一七年七月十九日.",,,Hong Kong,AMS Public Transport Holdings Limited,2017,,various paging ; 28 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-11982
10232,AMS Public Transport Holdings Limited,,,,,,,,,,AMS Public Transport Holdings Limited 2016/17 annual report = 進智公共交通控股有限公司2016/17年度報告書.,,,Hong Kong,AMS Public Transport Holdings Limited,2017,,"92, 92 p. : col. ill. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-11987
10233,"Bei, Dao","Klein, Lucas","Song, Chris",,,,,,,,"ANCIENT enmity = 古老的敵意 / edited by Bei Dao, Lucas Klein, Chris Song.",,,Hong Kong,The Chinese University Press,2017,International poetry nights in Hong Kong 2017,275 p. ; 18 x 28 cm.,Text in Chinese and English,978-988-237-030-2 (pbk.),,$160.00,2017-12547
10234,林洪浩,吳康康,,,,,,,,,"ANECDOTES of Xu Hongfei = 鴻飛逸事 / chief edited by 林洪浩, 吳康康.",,,Hong Kong,Chinese Academia of Art & Literature Publishing Limited,2014,,"159 p. : col. ill., col. port ; 25 cm.",Text in simplified Chinese and English,978-988-13496-3-7 (pbk.),,$150.00,2017-13722
10235,"Sit, Alfred Y. F.","Lee, T. J.",,,,,,,,,ANNOTATED ordinances of Hong Kong : Bills of Exchange Ordinance (Cap 19) = 匯票條例(第19章) / annotated by Alfred YF Sit ; legal editor Lee TJ.,2017 reissue,,Hong Kong,LexisNexis,2017,,"xliii, 186 p. ; 25 cm.",Glossary,978-988-8389-78-0 (pbk.),,$3560.00 (set),2017-10677
10236,"Lo, P. Y.","Wilkinson, Michael",,,,,,,,,"ANNOTATED ordinances of Hong Kong : Court of Final Appeal Ordinance (Cap 484) = 香港終審法院條例(第484章) / annotated by PY Lo, Michael Wilkinson.",,,Hong Kong,LexisNexis,2017,,"xxv, 74 p. ; 25 cm.",,978-988-8389-94-0 (pbk.),,$3560.00 (set),2017-12305
10237,"Lo, P. Y.","Wilkinson, Michael",,,,,,,,,"ANNOTATED ordinances of Hong Kong : District Court Ordinance (Cap 336) = 區域法院條例(第336章) / annotated by PY Lo, Michael Wilkinson.",2017 reissue,,Hong Kong,LexisNexis,2017,,"cxxii, 484 p. ; 25 cm.",Glossary,978-988-8389-93-3 (pbk.),,$3560.00 (set),2017-12304
10238,"Sit, Alfred Y. F.","Yunus, Abd Shukor Mohd",,,,,,,,,ANNOTATED ordinances of Hong Kong : Enduring Powers of Attorney Ordinance (Cap 501) = 持久授權書條例(第501章) / annotated by Alfred YF Sit ; legal edited by Abd Shukor Mohd Yunus.,,,Hong Kong,LexisNexis,2017,,"xiii, 48 p. ; 25 cm.",Glossary,978-988-8476-12-1 (pbk.),,$3560.00 (set),2017-13221
10239,"Lo, P. Y.","Wilkinson, Michael",,,,,,,,,"ANNOTATED ordinances of Hong Kong : High Court Ordinance (Cap 4) = 高等法院條例(第4章) / annotated by PY Lo, Michael Wilkinson.",2017 reissue,,Hong Kong,LexisNexis,2017,,"lxxiv, 260 p. ; 25 cm.",,978-988-8389-92-6 (pbk.),,$3560.00 (set),2017-12303
10240,"Lo, P. Y.","Wilkinson, Michael","Lee, T. J.",,,,,,,,"ANNOTATED ordinances of Hong Kong : Limitation Ordinance (Cap 347) = 時效條例(第347章) / annotated by PY Lo, Michael Wilkinson ; legal editor Lee TJ.",2017 reissue,,Hong Kong,LexisNexis,2017,,"xxx, 162 p. ; 25 cm.",Glossary,978-988-8389-79-7 (pbk.),,$3560.00 (set),2017-10678
10241,"Lo, P. Y.","Clarke, W. S.","Yunus, Abd Shukor Mohd",,,,,,,,"ANNOTATED ordinances of Hong Kong : Matrimonial Proceedings and Property Ordinance (Cap 192) = 婚姻法律程序與財產條例(第192章) / annotated by PY Lo, WS Clarke ; legal edited by Abd Shukor Mohd Yunus.",2017 reissue,,Hong Kong,LexisNexis,2017,,"xliii, 172 p. ; 25 cm.",Glossary,978-988-8476-10-7 (pbk.),,$3560.00 (set),2017-13220
10242,"Lo, P. Y.","Wilkinson, Michael",,,,,,,,,"ANNOTATED ordinances of Hong Kong : Parent and Child Ordinance (Cap 429) = 父母與子女條例(第429章) / annotated by PY Lo, Michael Wilkinson.",2017 reissue,,Hong Kong,LexisNexis,2017,,"xvii, 44 p. ; 25 cm.",Glossary,978-988-8476-11-4 (pbk.),,$3560.00 (set),2017-13219
10243,"Wilkinson, Michael","Lo, P. Y.",,,,,,,,,"ANNOTATED ordinances of Hong Kong : Separation and Maintenance Orders Ordinance (Cap 16) = 分居令及贍養令條例(第16章) / annotated by PY Lo, Michael Wilkinson.",2017 reissue,,Hong Kong,LexisNexis,2017,,"xxiii, 55 p. ; 25 cm.",Glossary,978-988-8476-09-1 (pbk.),,$3560.00 (set),2017-13222
10244,APAC Resources Limited,,,,,,,,,,APAC Resources Limited 2017 annual report = 亞太資源有限公司2017年報.,,,Hong Kong,APAC Resources Limited,2017,,"110, 110 p. : col. ill. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-11974
10245,"Fok, Wilton",,,,,,,,,,"APP Development. App inventor. 2, F.1-F.3 / Wilton Fok ... [et al.].",2017 ed.,,Hong Kong,Hong Kong Unific Publishing Limited,2017,The new era of ICT,81 p. : col. ill. ; 29 cm.,,978-988-78242-5-1 (pbk.),,$75.00,2017-13769
10246,"Fok, Wilton",,,,,,,,,,APPS and mobile learning. F.1-F.3 / Wilton Fok ... [et al.].,2017 ed.,,Hong Kong,Hong Kong Unific Publishing Limited,2017,The new era of ICT,50 p. : col. ill. ; 29 cm.,,978-988-78242-7-5 (pbk.),,$55.00,2017-13771
10247,APT Satellite Holdings Limited,,,,,,,,,,APT Satellite Holdings Limited interim report 2017 = 亞太衛星控股有限公司中期報告2017.,,,Hong Kong,APT Satellite Holdings Limited,2017,,"36, 36 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-12336
10248,"Arias, Patricia de","Borras, Laura",,,,,,,,,Marwan's journey / Patricia de Arias ; illustrated by Laura Borras.,,,Hong Kong,Michael Neugebauer (Publishing) Limited,2017,,unpaged : col. ill. ; 25 x 28 cm.,,978-988-8341-55-9,,USD17.99,2017-11463
10249,Art Group Holdings Limited,,,,,,,,,,Art Group Holdings Limited annual report 2017 = 錦藝集團控股有限公司年報2017.,,,Hong Kong,Art Group Holdings Limited,2017,,"112, 112 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-13537
10250,"Xu, Zhijing","Lin, Lareina","Li, May",,,,,,,,"ARTS & Medicine / edited by Zhijing Xu, Lareina Lin, May Li.",,,Hong Kong,Ame Publishing Company,2017,,61 p. : col. ill. ; 29 cm.,,978-988-77840-6-7,,USD50.00,2017-13825
10251,Ascent International Holdings Limited,,,,,,,,,,Ascent International Holdings Limited interim report 2017 = 中壐國際控股有限公司中期報告2017.,,,Hong Kong,Ascent International Holdings Limited,2017,,"30, 30 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-11605
10252,Asia Grocery Distribution Limited,,,,,,,,,,Asia Grocery Distribution Limited interim report 2017/2018 = 亞洲雜貨有限公司中期報告2017/2018.,,,Hong Kong,Asia Grocery Distribution Limited,2017,,"26, 26 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-12741
10253,Asia Investment Finance Group Limited,,,,,,,,,,Asia Investment Finance Group Limited interim report 2017 = 亞投金融集團有限公司中期報告2017.,,,Hong Kong,Asia Investment Finance Group Limited,2017,,"38, 38 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-12408
10254,"Wang, Shaoqiang",,,,,,,,,,ASIA-PACIFIC design. No. 12 = 亞太設計年鑒 / edited by Wang Shaoqiang.,,,Hong Kong,Sandu Publishing Company Limited,2016,,"464 p. : ill. (chiefly col.), port ; 30 cm.",Text in Chinese and English,978-988-77408-3-4,,Unpriced,2017-11111
10255,Asiasec Properties Limited,,,,,,,,,,Asiasec Properties Limited interim report 2017 = 亞證地產有限公司中期業績報告2017.,,,Hong Kong,Asiasec Properties Limited,2017,,44 p. ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-12415
10256,"Yee, Shin Jiun",,,,,,,,,,ATKIN'S court forms Hong Kong. Issue 56 / legal edited by Yee Shin Jiun.,,,Hong Kong,LexisNexis,2017,,various paging ; 24 cm.,Includes index,978-988-8389-85-8 (loose-leaf),,$2195.00,2017-12313
10257,Aurum Pacific (China) Group Limited,,,,,,,,,,Aurum Pacific (China) Group Limited third quarterly report 2017 = 奧栢中國集團有限公司2017第三季度業績報告.,,,Hong Kong,Aurum Pacific (China) Group Limited,2017,,32 p. ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-13478
10258,"Bokhary, N. P. J.",,,,,,,,,,AUTHORISED Hong Kong court of final appeal reports 2016. Vol. 19 / edited by Bokhary NPJ.,,,Hong Kong,Thomson Reuters Hong Kong Limited,2017,,"lxxii, 731 p. ; 25 cm.",Text partially in Chinese,978-962-661-914-8,,Unpriced,2017-11488
10259,"Bokhary, N. P. J.",,,,,,,,,,AUTHORISED Hong Kong law reports & digest 2017. Vol. 2 / edited by Bokhary NPJ.,,,Hong Kong,Thomson Reuters Hong Kong Limited,2017,,"lxxix, 1255 p. ; 25 cm.",Text partially in Chinese,978-962-661-934-6,,Unpriced,2017-11487
10260,Auto Italia Holdings Limited,,,,,,,,,,Auto Italia Holdings Limited 2017 interim report = 意達利控股有限公司2017中期報告.,,,Hong Kong,Auto Italia Holdings Limited,2017,,"38, 38 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-10282
10261,Automated Systems Holdings Limited,,,,,,,,,,Automated Systems Holdings Limited interim report for the six months ended 30th June 2017 = 自動系統集團有限公司中期報告截至二零一七年六月三十日止六個月.,,,Hong Kong,Automated Systems Holdings Limited,2017,,"48, 48 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-11627
10262,AVIC Joy Holdings (HK) Limited,,,,,,,,,,AVIC Joy Holdings (HK) Limited 2017 interim report = 幸福控股(香港)有限公司2017中期報告.,,,Hong Kong,AVIC Joy Holdings (HK) Limited,2017,,"44, 44 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-11645
10263,b.wing,,,,,,,,,,"Blue matters, smile till it hurts / b.wing.",,,Hong Kong,How2work Limited,2017,,unpaged : col. ill. ; 26 cm.,Text partially in Chinese,978-988-77670-4-6 (pbk.),,$250.00,2017-12795
10264,"Baderoon, Gabeba",,,,,,,,,,Poetry for beginners = 詩歌入門 / Gabeba Baderoon.,,,Hong Kong,The Chinese University Press,2017,Ancient enmity box set collection ; 1,50 p. ; 17 cm. + 1 bookmark,Text in Chinese and English,"978-988-237-024-1 (pbk.), 978-988-237-028-9 (set)",,$20.00; $300.00,2017-12704
10265,Baioo Family Interactive Limited,,,,,,,,,,Baioo Family Interactive Limited interim report 2017 = 百奧家庭互動有限公司中期報告2017.,,,Hong Kong,Baioo Family Interactive Limited,2017,,"68, 68 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-12400
10266,Bamboos Health Care Holdings Limited,,,,,,,,,,Bamboos Health Care Holdings Limited annual report 2017 = 百本醫護控股有限公司2017年報.,,,Hong Kong,Bamboos Health Care Holdings Limited,2017,,"100, 100 p. : charts ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-12108
10267,Bamboos Health Care Holdings Limited,,,,,,,,,,"Bamboos Health Care Holdings Limited proposals for general mandates to issue and buy back shares and re-election of directors and notice of annual general meeting, 31 August 2017 = 百本醫護控股有限公司建議發行及購回股份的一般授權及重選董事及股東週年大會通告, 二零一七年八月三十一日.",,,Hong Kong,Bamboos Health Care Holdings Limited,2017,,"i, 21, i, 21 p. ; 28 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-12210
10268,Bank of China (Hong Kong) Limited,,,,,,,,,,Bank of China (Hong Kong) Limited 2017 interim report = 中國銀行(香港)有限公司2017中期業績報告.,,,Hong Kong,Bank of China (Hong Kong) Limited,2017,,189 p. ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-10741
10269,Bank of China Limited,,,,,,,,,,Bank of China Limited 2017 interim report.,,,Hong Kong,Bank of China Limited,2017,,164 p. ; 29 cm.,,,,Unpriced (pbk.),2017-11007
10270,"Bank of Chongqing Co., Ltd.",,,,,,,,,,"Bank of Chongqing Co., Ltd. 2017 interim report = 重慶銀行股份有限公司二零一七年年度中期報告.",,,Hong Kong,"Bank of Chongqing Co., Ltd",2017,,"136, 136 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-11973
10271,Baoye Group Company Limited,,,,,,,,,,Baoye Group Company Limited interim report 2017 = 寶業集團股份有限公司中期報告2017.,,,Hong Kong,Baoye Group Company Limited,2017,,"60, 60 p. : col. ill., col. charts, col. map ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-11528
10272,Bar Pacific Group Holdings Limited,,,,,,,,,,Bar Pacific Group Holdings Limited first quarterly report 2017/18 = 太平洋酒吧集團控股有限公司第一季度業績報告2017/18.,,,Hong Kong,Bar Pacific Group Holdings Limited,2017,,"15, 15 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-10996
10273,Bar Pacific Group Holdings Limited,,,,,,,,,,Bar Pacific Group Holdings Limited interim report 2017/18 = 太平洋酒吧集團控股有限公司中期報告2017/18.,,,Hong Kong,Bar Pacific Group Holdings Limited,2017,,"23, 23 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-13549
10274,"Baruzzi, Agnese",,,,,,,,,,Big size : surprise / Agnese Baruzzi.,,,Hong Kong,Michael Neugebauer (Publishing) Limited,2017,,unpaged : col. ill. ; 17 cm.,,978-988-8341-50-4,,USD12.99,2017-11458
10275,"Baruzzi, Agnese",,,,,,,,,,Big size : surprise / Agnese Baruzzi.,,,Hong Kong,Michael Neugebauer (Publishing) Limited,2017,,unpaged : col. ill. ; 17 cm.,,978-988-8342-66-2,,GBP9.99,2017-11459
10276,Basetrophy Group Holdings Limited,,,,,,,,,,Basetrophy Group Holdings Limited interim report 2017 = 基地錦標集團控股有限公司二零一七年中期報告.,,,Hong Kong,Basetrophy Group Holdings Limited,2017,,"34, 34 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-10974
10277,Basetrophy Group Holdings Limited,,,,,,,,,,Basetrophy Group Holdings Limited third quarterly report 2017 = 基地錦標集團控股有限公司二零一七年第三季度報告.,,,Hong Kong,Basetrophy Group Holdings Limited,2017,,"18, 18 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-13503
10278,"To, Y. K.",,,,,,,,,,BASIC principles in biology for HKDSEE. Book 4 / Y.K. To.,2nd ed.,,Hong Kong,"Hung Fu, Man Yatng Book Co., Ltd",2017,,"vi, 310 p. : ill., charts ; 26 cm.","Includes index, Text partially in Chinese",978-962-354-248-7 (pbk.),,$138.00,2017-11452
10279,"Fok, Wilton","Cheung, Karl","Law, Ken",,,,,,,,"BASIC programming. I, Hopscotch. F.1-F.3 / Wilton Fok, Karl Cheung, Ken Law.",2017 ed.,,Hong Kong,Hong Kong Unific Publishing Limited,2017,The new era of ICT,63 p. : col. ill. ; 29 cm.,,978-988-78242-3-7 (pbk.),,$75.00,2017-13767
10280,"Fok, Wilton",,,,,,,,,,"BASIC programming. II, Scratch. F.1-F.3 / Wilton Fok ... [et al.].",2017 ed.,,Hong Kong,Hong Kong Unific Publishing Limited,2017,The new era of ICT,72 p. : col. ill. ; 29 cm.,,978-988-78242-4-4 (pbk.),,$75.00,2017-13768
10281,BaWang International (Group) Holding Limited,,,,,,,,,,BaWang International (Group) Holding Limited interim report 2017 = 霸王國際(集團)控股有限公司2017年中期報告.,,,Hong Kong,BaWang International (Group) Holding Limited,2017,,64 p. ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-11087
10282,Beautiful China Holdings Company Limited,,,,,,,,,,Beautiful China Holdings Company Limited interim report 2017 = 美麗中國控股有限公司中期報告2017.,,,Hong Kong,Beautiful China Holdings Company Limited,2017,,"38, 38 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-12343
10283,"Beggs, Claire","Spears, Charles, IV","Yuen, Elvia",,,,,,,,"Lost in the neighborhood / written by Claire Beggs, Charles Spears IV ; illustrated by Elvia Yuen.",,,Hong Kong,Canadian Bookstore Limited,2017,Storybook collection. Short stories ; Book 8,11 p. : col. ill. ; 20 cm.,,978-988-77375-8-2 (pbk.),,$39.00,2017-13798
10284,Beijing Enterprises Environment Group Limited,,,,,,,,,,Beijing Enterprises Environment Group Limited interim report 2017 = 北京控股環境集團有限公司中期報告2017.,,,Hong Kong,Beijing Enterprises Environment Group Limited,2017,,"42, 42 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-12377
10285,Beijing Enterprises Holdings Limited,,,,,,,,,,Beijing Enterprises Holdings Limited interim report 2017 = 北京控股有限公司中期報告2017.,,,Hong Kong,Beijing Enterprises Holdings Limited,2017,,"60, 60 p. : col. charts ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-12378
10286,Beijing Enterprises Medical and Health Industry Group Limited,,,,,,,,,,"Beijing Enterprises Medical and Health Industry Group Limited (1) Major transactions in relation to disposal of a subsidiary & financial assistance and (2) Notice of extraordinary general meeting, 20 June 2017 = 北控醫療健康產業集團有限公司 (1) 有關出售附屬公司及財務資助之主要交易及 (2) 股東特別大會通告, 二零一七年六月二十日.",,,Hong Kong,Beijing Enterprises Medical and Health Industry Group Limited,2017,,various paging ; 28 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-11935
10287,Beijing Enterprises Medical and Health Industry Group Limited,,,,,,,,,,Beijing Enterprises Medical and Health Industry Group Limited interim report 2017 = 北控醫療健康產業集團有限公司中期報告2017.,,,Hong Kong,Beijing Enterprises Medical and Health Industry Group Limited,2017,,96 p. ; 21 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-12143
10288,Beijing Enterprises Water Group Limited,,,,,,,,,,Beijing Enterprises Water Group Limited interim report 2017 = 北控水務集團有限公司中期報告2017.,,,Hong Kong,Beijing Enterprises Water Group Limited,2017,,"76, 76 p. : col. charts ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-12360
10289,Beijing Properties (Holdings) Limited,,,,,,,,,,Beijing Properties (Holdings) Limited 2017 interim report = 北京建設(控股)有限公司2017中期報告.,,,Hong Kong,Beijing Properties (Holdings) Limited,2017,,"58, 58 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-12406
10290,Beijing Sports and Entertainment Industry Group Limited,,,,,,,,,,Beijing Sports and Entertainment Industry Group Limited interim report 2017 = 北京體育文化產業集團有限公司2017中期報告.,,,Hong Kong,Beijing Sports and Entertainment Industry Group Limited,2017,,68 p. ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-11682
10291,BeijingWest Industries International Limited,,,,,,,,,,BeijingWest Industries International Limited interim report 2017 = 京西重工國際有限公司2017中期報告.,,,Hong Kong,BeijingWest Industries International Limited,2017,,"62, 62 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-11616
10292,"Bello, Javier",,,,,,,,,,I decide to dissolve = 我已決定溶解自己 / Javier Bello.,,,Hong Kong,The Chinese University Press,2017,Ancient enmity box set collection ; 2,61 p. ; 17 cm.,"Text in Chinese, English and Spanish","978-988-237-025-8 (pbk.), 978-988-237-028-9 (set)",,$20.00; $300.00,2017-12705
10293,"Bernstein, Charles",,,,,,,,,,Pinky's rule = 小指頭的統治 / Charles Bernstein.,,,Hong Kong,The Chinese University Press,2017,Ancient enmity box set collection ; 3,36 p. ; 17 cm.,Text in Chinese and English,"978-988-237-026-5 (pbk.), 978-988-237-028-9 (set)",,$20.00; $300.00,2017-12706
10294,Best Pacific International Holdings Limited,,,,,,,,,,Best Pacific International Holdings Limited interim report 2017 = 超盈國際控股有限公司2017中期報告.,,,Hong Kong,Best Pacific International Holdings Limited,2017,,68 p. ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-11507
10295,BHCC Holding Limited,,,,,,,,,,BHCC Holding Limited interim report 2017 = BHCC Holding Limited中期報告2017.,,,Hong Kong,BHCC Holding Limited,2017,,"36, 36 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-12163
10296,"Bhojwani, Reena",,,,,,,,,,Surprising Mrs Rhubarbson : from Marble Mangosteen's good deed collection. Activity book / Reena Bhojwani.,,,Hong Kong,Inspired Muse!,2017,,50 p. : ill. ; 30 cm. + stickers,,978-988-77274-1-5 (pbk.),,$60.00,2017-12700
10297,"Montero, Jose Perez",黃婉蓮,,,,,,,,,BIBLE activities for bright minds. God with us = 聰明小腦袋聖經活動冊. 上帝與我們同在 / illustrated by Jose Perez Montero ; translated by 黃婉蓮.,,,Hong Kong,Chinese Bible International Limited,2017,,22 p. : col. ill. ; 28 cm.,Text in Chinese and English,978-988-8286-85-0 (pbk.),,$28.00,2017-10950
10298,"Montero, Jose Perez",黃婉蓮,,,,,,,,,BIBLE activities for bright minds. God with us = 聰明小腦袋聖經活動冊. 上帝與我們同在 / illustrated by Jose Perez Montero ; translated by 黃婉蓮.,,,Hong Kong,Chinese Bible International Limited,2017,,22 p. : col. ill. ; 28 cm.,Text in simplified Chinese and English,978-988-8286-89-8 (pbk.),,$28.00,2017-10951
10299,"Montero, Jose Perez",黃婉蓮,,,,,,,,,BIBLE activities for bright minds. God's heroes = 聰明小腦袋聖經活動冊. 上帝的英雄 / illustrated by Jose Perez Montero ; translated by 黃婉蓮.,,,Hong Kong,Chinese Bible International Limited,2017,,22 p. : col. ill. ; 28 cm.,Text in Chinese and English,978-988-8286-83-6 (pbk.),,$28.00,2017-10954
10300,"Montero, Jose Perez",黃婉蓮,,,,,,,,,BIBLE activities for bright minds. God's heroes = 聰明小腦袋聖經活動冊. 上帝的英雄 / illustrated by Jose Perez Montero ; translated by 黃婉蓮.,,,Hong Kong,Chinese Bible International Limited,2017,,22 p. : col. ill. ; 28 cm.,Text in simplified Chinese and English,978-988-8286-87-4 (pbk.),,$28.00,2017-10955
